Source,location,lat,long
"Marret et al., 1461",A156,59.81,-27.92
"Marret et al., 1460",S158,56.11,-58.91
"Marret et al., 1459",S159,54.71,-56.45
"Marret et al., 1458",S160,54.72,-55.58
"Marret et al., 1457",L162,54.82,-52.87
"Marret et al., 1456",L163,55.03,-52.13
"Marret et al., 1455",L164,54.9,-52.75
"Marret et al., 1454",A168,59.49,-39.31
"Marret et al., 1453",A171,59.68,-30.36
"Marret et al., 1452",A173,58.94,-28.74
"Marret et al., 1451",A174,55.75,-30.23
"Marret et al., 1450",A175,53.06,-33.53
"Marret et al., 1449",L178,50.21,-45.69
"Marret et al., 1448",A179,37.77,-10.18
"Marret et al., 1447",A180,44.88,-3.3
"Marret et al., 1446",A181,56.52,-13.25
"Marret et al., 1445",A182,55.47,-14.68
"Marret et al., 1444",A183,44.85,-2.13
"Marret et al., 1443",A184,34.32,-7.02
"Marret et al., 1442",N185,60.64,3.72
"Marret et al., 1441",N186,60.63,3.73
"Marret et al., 1440",N189,69.45,-14.54
"Marret et al., 1439",N190,68.42,-13.87
"Marret et al., 1438",N191,68.17,-11.54
"Marret et al., 1437",N192,67.5,-11.66
"Marret et al., 1436",N193,67,-9.31
"Marret et al., 1435",N194,67.12,-8.29
"Marret et al., 1434",N195,67.08,-7.31
"Marret et al., 1433",N196,67.04,-6.59
"Marret et al., 1432",N197,67,-6.21
"Marret et al., 1431",N198,62.65,-1.67
"Marret et al., 1430",N200,73.38,-5.61
"Marret et al., 1429",N206,62.94,1.03
"Marret et al., 1428",N207,63.06,0.79
"Marret et al., 1427",N208,63.16,0.57
"Marret et al., 1426",N209,63.44,-0.02
"Marret et al., 1425",N210,65.42,-4.74
"Marret et al., 1424",N211,65.75,-3.23
"Marret et al., 1423",N212,66.61,1.13
"Marret et al., 1422",N213,66.67,1.48
"Marret et al., 1421",N214,66.61,1.55
"Marret et al., 1420",N215,66.61,2.18
"Marret et al., 1419",N216,66.61,2.66
"Marret et al., 1418",N217,63.72,3.22
"Marret et al., 1417",N218,63.46,3.04
"Marret et al., 1416",N219,63.21,3.08
"Marret et al., 1415",N220,62.88,3.71
"Marret et al., 1414",N221,62.78,3.9
"Marret et al., 1413",N222,62.75,3.95
"Marret et al., 1412",N223,62.47,4.46
"Marret et al., 1411",N224,65.1,2.42
"Marret et al., 1410",N225,59.87,-8.33
"Marret et al., 1409",N226,59.67,-9.3
"Marret et al., 1408",N227,64.85,-10.33
"Marret et al., 1407",N228,64.94,-10.14
"Marret et al., 1406",N229,65,-10
"Marret et al., 1405",N230,65.15,-9.53
"Marret et al., 1404",N231,65.27,-8.81
"Marret et al., 1403",N232,65.39,-8.03
"Marret et al., 1402",N233,65.37,-8.17
"Marret et al., 1401",N234,65.45,-7.65
"Marret et al., 1400",N235,65.51,-7.18
"Marret et al., 1399",N236,65.57,-6.79
"Marret et al., 1398",N237,65.62,-4.63
"Marret et al., 1397",N238,58.14,-0.39
"Marret et al., 1396",N239,58.14,-0.28
"Marret et al., 1395",N240,58.14,-0.22
"Marret et al., 1394",N241,58.22,0.02
"Marret et al., 1393",N242,57.12,1.9
"Marret et al., 1392",N245,58.07,0.55
"Marret et al., 1391",N246,58.4,1.73
"Marret et al., 1390",N248,58.69,4.23
"Marret et al., 1389",N249,58.76,4.85
"Marret et al., 1388",B256,77.27,-74.32
"Marret et al., 1387",B257,76.8,-71.85
"Marret et al., 1386",A258,43.83,-62.79
"Marret et al., 1385",A259,43.83,-62.81
"Marret et al., 1384",A260,43.83,-62.8
"Marret et al., 1383",A261,42.88,-61.76
"Marret et al., 1382",A262,42.89,-61.75
"Marret et al., 1381",A263,43.65,-62.63
"Marret et al., 1380",A264,37.75,-10.31
"Marret et al., 1379",A265,37.88,-9.49
"Marret et al., 1378",A266,37.87,-9.95
"Marret et al., 1377",N268,57.73,0.61
"Marret et al., 1376",N269,57.07,-1.75
"Marret et al., 1375",K275,57.85,9.01
"Marret et al., 1374",K277,57.61,8.33
"Marret et al., 1373",J280,66.99,-7.12
"Marret et al., 1372",J281,68.3,-3.64
"Marret et al., 1371",J282,69.37,-8.67
"Marret et al., 1370",J283,69.41,-12.92
"Marret et al., 1369",J284,70,-21.11
"Marret et al., 1368",J285,78.01,8.72
"Marret et al., 1367",J286,78,6.69
"Marret et al., 1366",J287,77.99,2.45
"Marret et al., 1365",J288,78,-1.05
"Marret et al., 1364",J289,78.62,-11.04
"Marret et al., 1363",J290,78.99,-13.93
"Marret et al., 1362",J291,80.02,-11.55
"Marret et al., 1361",J292,79.98,-7.88
"Marret et al., 1360",J293,80.02,-4.83
"Marret et al., 1359",J297,79.4,7.79
"Marret et al., 1358",J298,65.5,-3.01
"Marret et al., 1357",J299,65.52,-0.11
"Marret et al., 1356",J300,69.5,3
"Marret et al., 1355",J301,67.09,2.91
"Marret et al., 1354",J303,73.06,9.74
"Marret et al., 1353",J304,74.88,11.14
"Marret et al., 1352",J305,75,13.96
"Marret et al., 1351",J306,72.04,9.27
"Marret et al., 1350",J307,72.14,11.45
"Marret et al., 1349",J308,72.18,13.1
"Marret et al., 1348",J309,72.23,14.43
"Marret et al., 1347",J310,71.2,15.83
"Marret et al., 1346",J311,71.99,7.49
"Marret et al., 1345",J312,72.01,4.99
"Marret et al., 1344",J313,71.44,0.66
"Marret et al., 1343",J314,73.17,-0.81
"Marret et al., 1342",J315,72.04,-0.62
"Marret et al., 1341",J316,72.06,-0.22
"Marret et al., 1340",J317,72.38,1.8
"Marret et al., 1339",J318,72.39,1.51
"Marret et al., 1338",J319,72.62,-6.59
"Marret et al., 1337",J320,72.37,-10.6
"Marret et al., 1336",J321,71.17,-5.87
"Marret et al., 1335",J322,70.01,0.08
"Marret et al., 1334",J323,68.33,1.49
"Marret et al., 1333",J324,67.01,7.76
"Marret et al., 1332",J325,66.89,8.04
"Marret et al., 1331",J326,67.69,5.87
"Marret et al., 1330",J327,70.95,-5.56
"Marret et al., 1329",J328,71.63,-8.42
"Marret et al., 1328",J329,72.22,-12.98
"Marret et al., 1327",J330,71.74,-15.59
"Marret et al., 1326",J331,71.29,-14.07
"Marret et al., 1325",J332,70.44,-16.08
"Marret et al., 1324",J333,70.41,-18.94
"Marret et al., 1323",J334,70.39,-20.2
"Marret et al., 1322",J335,70.39,-19.33
"Marret et al., 1321",J336,70.36,-18.21
"Marret et al., 1320",J337,70.01,-12.43
"Marret et al., 1319",J338,70.57,-12.73
"Marret et al., 1318",J339,70.34,-10.63
"Marret et al., 1317",J340,65.53,-4.15
"Marret et al., 1316",J341,73.52,-9.18
"Marret et al., 1315",J342,73.75,-10.48
"Marret et al., 1314",J343,74.19,-14.47
"Marret et al., 1313",J344,74.43,-15.31
"Marret et al., 1312",J345,72.66,-17.85
"Marret et al., 1311",J346,74.41,-17.54
"Marret et al., 1310",J347,74.83,-9.78
"Marret et al., 1309",J348,79.76,-14.36
"Marret et al., 1308",J349,78.41,1.06
"Marret et al., 1307",J350,74.25,-10.06
"Marret et al., 1306",J351,72.62,-13.84
"Marret et al., 1305",J352,71.81,-12.57
"Marret et al., 1304",J353,67.93,-18.36
"Marret et al., 1303",J354,69.03,-18.02
"Marret et al., 1302",J355,69.2,-16.82
"Marret et al., 1301",J356,69.17,-16.52
"Marret et al., 1300",J357,68.59,-16.85
"Marret et al., 1299",J358,68.64,-17.16
"Marret et al., 1298",J359,68.95,-17.54
"Marret et al., 1297",J360,68.17,-18.3
"Marret et al., 1296",J361,74.33,-5.18
"Marret et al., 1295",J362,73.74,-14.88
"Marret et al., 1294",J363,75.33,-11.57
"Marret et al., 1293",J365,76.79,-5.58
"Marret et al., 1292",J366,76.92,-6.02
"Marret et al., 1291",J367,77.75,1
"Marret et al., 1290",J368,77.99,-4.55
"Marret et al., 1289",J369,75.52,0.83
"Marret et al., 1288",Y372,80.06,-6.66
"Marret et al., 1287",Y373,80.15,-10.71
"Marret et al., 1286",Y374,79.59,-11.8
"Marret et al., 1285",Y375,80.62,-11.32
"Marret et al., 1284",Y376,80.45,-13.66
"Marret et al., 1283",Y377,79.89,-11
"Marret et al., 1282",Z379,70.32,50.45
"Marret et al., 1281",Z380,70.74,51.3
"Marret et al., 1280",Z381,70.99,51.75
"Marret et al., 1279",Z382,71.14,52.55
"Marret et al., 1278",Z383,70.67,53.4
"Marret et al., 1277",Z384,70.54,53.06
"Marret et al., 1276",Z385,70.74,51.3
"Marret et al., 1275",Z386,70.05,51.89
"Marret et al., 1274",Z387,70.5,54.26
"Marret et al., 1273",Z388,70.62,54.55
"Marret et al., 1272",Z389,70.26,54.43
"Marret et al., 1271",Z390,70.5,55.08
"Marret et al., 1270",Z391,70.2,55.88
"Marret et al., 1269",Z392,70.42,56.5
"Marret et al., 1268",Z393,70.3,57.17
"Marret et al., 1267",Z394,70.36,57.36
"Marret et al., 1266",Z395,70.07,56.49
"Marret et al., 1265",Z396,70.03,57.02
"Marret et al., 1264",Z397,70.31,54.82
"Marret et al., 1263",N398,62.62,2.73
"Marret et al., 1262",N399,62.58,2.33
"Marret et al., 1261",N400,62.42,2.07
"Marret et al., 1260",N401,62.3,1.71
"Marret et al., 1259",N402,62.53,1.25
"Marret et al., 1258",A405,36.76,-9.85
"Marret et al., 1257",A406,38.84,-11.48
"Marret et al., 1256",A407,40.99,-10.85
"Marret et al., 1255",A408,41.82,-9.97
"Marret et al., 1254",A409,42.1,-9.78
"Marret et al., 1253",A410,42.3,-11.13
"Marret et al., 1252",A411,44.26,-2.7
"Marret et al., 1251",A412,46.91,-8.09
"Marret et al., 1250",A413,46.77,-8.68
"Marret et al., 1249",A414,46.68,-8.97
"Marret et al., 1248",A415,57.94,-29.13
"Marret et al., 1247",A416,66.6,-10.46
"Marret et al., 1246",A417,60.94,-17.74
