Source,location,lat,long
"Marret et al., 988",O776,59.982,-171.025
"Marret et al., 987",O777,59.488,-173.768
"Marret et al., 986",O778,59.753,-174.412
"Marret et al., 985",O779,60.292,-175.905
"Marret et al., 984",O780,60.56,-176.53
"Marret et al., 983",O781,60.983,-176.733
"Marret et al., 982",O782,61.3,-176.497
"Marret et al., 981",O783,61.127,-175.202
"Marret et al., 980",O784,60.75,-174.6
"Marret et al., 979",O785,59.595,-173.088
"Marret et al., 978",O786,59.233,-172.567
"Marret et al., 977",O787,58.57,-172.017
"Marret et al., 976",O788,57.872,-171.657
"Marret et al., 975",O789,57.042,-171.3
"Marret et al., 974",O790,56.637,-171.133
"Marret et al., 973",O791,56.482,-170.057
"Marret et al., 972",O792,56.347,-167.618
"Marret et al., 971",O793,55.312,-167.075
"Marret et al., 970",O794,54.917,-166.975
"Marret et al., 969",O795,53.752,-169.1
"Marret et al., 968",Z796,72.636,59.971
"Marret et al., 967",Z797,72.693,64.568
"Marret et al., 966",Z798,71,64.5
"Marret et al., 965",Z799,69.776,64.861
"Marret et al., 964",Z800,76.008,79.963
"Marret et al., 963",Z801,74.988,79.851
"Marret et al., 962",Z804,80.59,55.75
"Marret et al., 961",Z806,80.95,51.84
"Marret et al., 960",Z807,75.56,56.45
"Marret et al., 959",Z808,75.48,57.17
"Marret et al., 958",Z809,79.57,46.94
"Marret et al., 957",Z810,79.65,47.87
"Marret et al., 956",A812,47.726,-57.289
"Marret et al., 955",A813,47.694,-57.31
"Marret et al., 954",A814,47.604,-57.352
"Marret et al., 953",A815,47.576,-57.377
"Marret et al., 952",A816,47.65,-57.934
"Marret et al., 951",A817,47.665,-57.934
"Marret et al., 950",A818,47.737,-58.339
"Marret et al., 949",A819,47.741,-58.321
"Marret et al., 948",A820,47.692,-58.36
"Marret et al., 947",A821,48.435,-58.628
"Marret et al., 946",A822,48.436,-58.631
"Marret et al., 945",A823,48.437,-58.635
"Marret et al., 944",A824,48.439,-58.64
"Marret et al., 943",P829,43.583,-129.228
"Marret et al., 942",P830,44.117,-127.983
"Marret et al., 941",P831,43.55,-128.75
"Marret et al., 940",P832,40.808,-124.55
"Marret et al., 939",P836,42.658,-131.117
"Marret et al., 938",P837,43.525,-131.567
"Marret et al., 937",P838,44.883,-131.667
"Marret et al., 936",P840,48.355,-124.14
"Marret et al., 935",P841,59.04,-150
"Marret et al., 934",P843,59.555,-148.308
"Marret et al., 933",P844,59.683,-147.583
"Marret et al., 932",P846,46.66,-134.27
"Marret et al., 931",P848,47.033,-131.158
"Marret et al., 930",P849,46.72,-127.542
"Marret et al., 929",P850,49.013,-127.767
"Marret et al., 928",P851,49.397,-128.14
"Marret et al., 927",P852,49.21,-129.243
"Marret et al., 926",P853,48.23,-130.03
"Marret et al., 925",P854,48.437,-129.87
"Marret et al., 924",P855,48.39,-127.153
"Marret et al., 923",P856,48.063,-128.057
"Marret et al., 922",P857,47.587,-129.507
"Marret et al., 921",P858,47.8,-127.122
"Marret et al., 920",P860,56.192,-136.44
"Marret et al., 919",P861,55.3,-138.103
"Marret et al., 918",P863,54.853,-137.893
"Marret et al., 917",P864,47.948,-126.272
"Marret et al., 916",P865,47.383,-124.913
"Marret et al., 915",P866,48.302,-126.055
"Marret et al., 914",P867,48.098,-126.017
"Marret et al., 913",P868,48.183,-125.77
"Marret et al., 912",P869,48.21,-125.685
"Marret et al., 911",P870,47.935,-125.355
"Marret et al., 910",P871,47.602,-125.758
"Marret et al., 909",P872,44.28,-129.655
"Marret et al., 908",P873,40.992,-127.805
"Marret et al., 907",P874,46.3,-125.115
"Marret et al., 906",P875,46.295,-125.613
"Marret et al., 905",P876,44.5,-124.9
"Marret et al., 904",P877,43.668,-125.32
"Marret et al., 903",P878,43.168,-125.403
"Marret et al., 902",P879,43.165,-125.087
"Marret et al., 901",P880,44.73,-130.157
"Marret et al., 900",P881,43.03,-126.578
"Marret et al., 899",P882,41.833,-126
"Marret et al., 898",P883,42.213,-128.007
"Marret et al., 897",P884,41.803,-129.005
"Marret et al., 896",P885,41.477,-131.22
"Marret et al., 895",P886,41.078,-134.655
"Marret et al., 894",P888,42.087,-126.6
"Marret et al., 893",P889,42.745,-126.258
"Marret et al., 892",P890,45.218,-125.575
"Marret et al., 891",P891,44.672,-125.28
"Marret et al., 890",P892,41.583,-130.617
"Marret et al., 889",P893,42.198,-125.205
"Marret et al., 888",P894,42.152,-127.573
"Marret et al., 887",P895,41.522,-132.042
"Marret et al., 886",P896,46.652,-129.133
"Marret et al., 885",P897,41.267,-127.017
"Marret et al., 884",P898,56.503,-143.877
"Marret et al., 883",P899,57.802,-138.39
"Marret et al., 882",P901,59.083,-143.67
"Marret et al., 881",P903,40.422,-125.517
"Marret et al., 880",P904,46.203,-124.242
"Marret et al., 879",C905,38.817,-72.817
"Marret et al., 878",C906,38.745,-72.652
"Marret et al., 877",C907,38.825,-72.737
"Marret et al., 876",C908,38.793,-72.717
"Marret et al., 875",C909,38.866,-72.687
"Marret et al., 874",C910,38.838,-72.705
"Marret et al., 873",C911,38.854,-72.73
"Marret et al., 872",C912,37.57,-74.57
"Marret et al., 871",C913,39.043,-72.462
"Marret et al., 870",C914,39.012,-72.422
"Marret et al., 869",C915,38.122,-73.825
"Marret et al., 868",C916,37.988,-73.853
"Marret et al., 867",C917,38.118,-73.608
"Marret et al., 866",C918,38.108,-73.665
"Marret et al., 865",C919,38.163,-73.84
"Marret et al., 864",C920,37.631,-74.152
"Marret et al., 863",C921,37.619,-74.163
"Marret et al., 862",C922,36.87,-74.578
"Marret et al., 861",C923,37.817,-73.517
"Marret et al., 860",C924,37.667,-73.767
"Marret et al., 859",C925,37.733,-73.8
"Marret et al., 858",C926,37.767,-73.833
"Marret et al., 857",C927,37.783,-73.867
"Marret et al., 856",C928,37.783,-73.867
"Marret et al., 855",C929,37.7,-73.933
"Marret et al., 854",C930,37.633,-73.833
"Marret et al., 853",C931,37.617,-73.667
"Marret et al., 852",C932,37.55,-73.583
"Marret et al., 851",C933,37.65,-73.467
"Marret et al., 850",C934,37.75,-73.55
"Marret et al., 849",A935,66.15,-17.58
"Marret et al., 848",A936,67.91,-15.45
"Marret et al., 847",A937,68.08,-15.38
"Marret et al., 846",A938,66.98,-15.73
"Marret et al., 845",A939,66.73,-16.83
"Marret et al., 844",A940,66.5,-18.85
"Marret et al., 843",A941,67.08,-20.15
"Marret et al., 842",A942,67.31,-19.73
"Marret et al., 841",A943,67.63,-20.31
"Marret et al., 840",A944,67.25,-20.5
"Marret et al., 839",A945,67.76,-20.83
"Marret et al., 838",A946,68.03,-20.68
"Marret et al., 837",A947,67.91,-19.35
"Marret et al., 836",A948,67.91,-18.83
"Marret et al., 835",A949,67.9,-17.75
"Marret et al., 834",A950,68.08,-17.5
"Marret et al., 833",A951,68.58,-16.93
"Marret et al., 832",A952,68.6,-14.66
"Marret et al., 831",A953,68.33,-15.75
"Marret et al., 830",A954,67.6,-17.85
"Marret et al., 829",A955,67.46,-18.18
"Marret et al., 828",A956,67.31,-18.36
"Marret et al., 827",A957,67.26,-18.83
"Marret et al., 826",A958,67.21,-19.5
"Marret et al., 825",A959,66.9,-17.9
"Marret et al., 824",A960,66.85,-17.85
"Marret et al., 823",A961,63.96,-23.55
"Marret et al., 822",A962,64.18,-25.28
"Marret et al., 821",A963,63.71,-24.4
"Marret et al., 820",A964,63.43,-24.65
"Marret et al., 819",A965,64.56,-27.6
"Marret et al., 818",A966,64.91,-27.21
"Marret et al., 817",A967,65.48,-27.51
"Marret et al., 816",A968,65.51,-26.22
"Marret et al., 815",A969,65.7,-25.26
"Marret et al., 814",A970,65.03,-25.86
"Marret et al., 813",A971,64.03,-24.02
"Marret et al., 812",A972,64.03,-24.02
"Marret et al., 811",A973,64.9,-24.44
"Marret et al., 810",A974,65.44,-26.31
"Marret et al., 809",A975,66.68,-24.19
"Marret et al., 808",A976,66.67,-24.19
"Marret et al., 807",A977,67.98,-21.78
"Marret et al., 806",A978,66.64,-20.86
"Marret et al., 805",A979,66.62,-20.85
"Marret et al., 804",A980,66.5,-19.5
"Marret et al., 803",A981,66.99,-17.97
"Marret et al., 802",A982,66.76,-18.75
"Marret et al., 801",A983,67.58,-17.07
"Marret et al., 800",A984,71.19,-18.47
"Marret et al., 799",A985,68.1,-27.86
"Marret et al., 798",A986,51.63,-6.2
"Marret et al., 797",A987,51.35,-6.5
"Marret et al., 796",A988,51.03,-6.15
"Marret et al., 795",A989,51.23,-5.9
"Marret et al., 794",A990,51.28,-6.06
"Marret et al., 793",A991,51.08,-5.83
"Marret et al., 792",A992,52.73,-4.46
"Marret et al., 791",F994,70.81,-127.64
"Marret et al., 790",F995,71.45,-133.81
"Marret et al., 789",F996,71.15,-133.52
"Marret et al., 788",F997,70.15,-133.52
"Marret et al., 787",F998,70.84,-133.63
"Marret et al., 786",F999,71.27,-128.52
"Marret et al., 785",F1000,70.65,-123.5
"Marret et al., 784",F1001,70.4,-139.3
"Marret et al., 783",F1002,69.92,-138.38
"Marret et al., 782",F1004,70.58,-122.97
"Marret et al., 781",M1005,36.2,-4.3
"Marret et al., 780",M1008,36.58,-3.06
"Marret et al., 779",M1009,36.484,-3
"Marret et al., 778",M1010,36.291,-2.905
"Marret et al., 777",M1011,36.084,-2.85
"Marret et al., 776",M1012,36.188,-2.847
"Marret et al., 775",M1013,36.832,12.328
"Marret et al., 774",M1016,37.297,9.21
"Marret et al., 773",M1017,39.03,9.213
"Marret et al., 772",M1018,36.778,2.663
"Marret et al., 771",M1019,37.338,9.198
"Marret et al., 770",M1020,36.713,2.682
"Marret et al., 769",M1021,39.033,9.253
"Marret et al., 768",M1022,36.738,2.642
"Marret et al., 767",M1023,36.713,2.66
"Marret et al., 766",M1024,39.027,9.278
"Marret et al., 765",M1025,37.603,8.857
"Marret et al., 764",M1026,37.595,2.748
"Marret et al., 763",M1027,38.59,10.828
"Marret et al., 762",M1028,38.913,9.395
"Marret et al., 761",M1029,38.935,9.368
"Marret et al., 760",M1030,39.035,9.24
"Marret et al., 759",M1031,38.693,10.707
"Marret et al., 758",M1032,37.638,8.813
"Marret et al., 757",M1033,38.933,10.587
"Marret et al., 756",M1034,37.535,-0.634
"Marret et al., 755",M1035,38.583,9.337
"Marret et al., 754",M1036,37.643,8.807
"Marret et al., 753",M1037,38.852,9.477
"Marret et al., 752",M1038,38.663,10.745
"Marret et al., 751",M1039,37.051,-0.486
"Marret et al., 750",M1040,38.248,11.335
"Marret et al., 749",M1041,38.307,11.275
"Marret et al., 748",M1042,37.632,8.827
"Marret et al., 747",M1043,37.7,8.755
"Marret et al., 746",M1044,38.093,8.382
"Marret et al., 745",M1045,37.07,11.39
"Marret et al., 744",M1046,37.399,-0.652
"Marret et al., 743",M1047,37.534,-0.634
"Marret et al., 742",M1048,37.613,8.842
"Marret et al., 741",M1049,37.722,8.728
"Marret et al., 740",M1050,38.638,10.775
"Marret et al., 739",M1051,38.675,10.743
"Marret et al., 738",M1052,38.422,9.237
"Marret et al., 737",M1053,37.803,8.717
"Marret et al., 736",M1054,38.537,9.302
"Marret et al., 735",M1055,37.535,-0.634
"Marret et al., 734",M1056,38.322,11.237
"Marret et al., 733",M1057,38.648,10.758
"Marret et al., 732",M1058,37.45,-0.641
"Marret et al., 731",M1059,37.17,-0.528
"Marret et al., 730",M1060,38.242,8.952
"Marret et al., 729",M1061,37.468,-0.641
"Marret et al., 728",M1062,40.07,1.35
"Marret et al., 727",M1063,37.58,0.5
"Marret et al., 726",M1064,35.57,-3.48
"Marret et al., 725",M1066,39.118,2.942
"Marret et al., 724",M1067,38.885,2.805
"Marret et al., 723",M1068,39.093,2.937
"Marret et al., 722",M1069,38.485,1.435
"Marret et al., 721",M1070,38.486,1.447
"Marret et al., 720",M1071,39.118,2.932
"Marret et al., 719",M1072,38.365,1.412
"Marret et al., 718",M1073,38.947,2.857
"Marret et al., 717",M1074,37.893,1.424
"Marret et al., 716",M1075,38.763,2.82
"Marret et al., 715",M1076,38.726,2.807
"Marret et al., 714",M1077,38.922,2.83
"Marret et al., 713",M1078,38.246,1.449
"Marret et al., 712",M1079,39.007,2.953
"Marret et al., 711",M1080,38.886,2.818
"Marret et al., 710",M1081,38.088,1.453
"Marret et al., 709",M1082,38.433,1.417
"Marret et al., 708",M1083,38.387,1.406
"Marret et al., 707",M1087,38.24,13.1
"Marret et al., 706",M1089,40.629,11.7
"Marret et al., 705",M1090,38.47,14.57
"Marret et al., 704",M1091,39.35,14.18
"Marret et al., 703",M1092,40.15,13.47
"Marret et al., 702",H1109,60.17,-79
"Marret et al., 701",H1110,60.34,-81.99
"Marret et al., 700",H1111,60.5,-85
"Marret et al., 699",H1112,60.84,-87.45
"Marret et al., 698",H1113,60.84,-87.45
"Marret et al., 697",H1114,60.84,-90.01
"Marret et al., 696",H1115,60.92,-91.78
"Marret et al., 695",H1116,65.14,-81.35
"Marret et al., 694",H1117,62.66,-75.49
"Marret et al., 693",H1118,63.83,-75.5
"Marret et al., 692",H1119,62.44,-75.5
"Marret et al., 691",H1120,63.85,-79.56
"Marret et al., 690",P1121,49.194,-123.307
"Marret et al., 689",P1122,49.226,-123.298
"Marret et al., 688",P1123,49.26,-123.295
"Marret et al., 687",P1124,49.143,-123.382
"Marret et al., 686",P1125,49.177,-123.367
"Marret et al., 685",P1126,49.12,-123.444
"Marret et al., 684",P1127,49.2,-123.428
"Marret et al., 683",P1128,49.211,-123.373
"Marret et al., 682",P1129,49.243,-123.367
"Marret et al., 681",P1130,49.249,-123.443
"Marret et al., 680",P1131,49.235,-123.444
"Marret et al., 679",P1132,49.217,-123.449
"Marret et al., 678",P1133,49.092,-123.341
"Marret et al., 677",P1135,48.838,-123.1
"Marret et al., 676",P1136,48.931,-123.063
"Marret et al., 675",P1137,49.151,-123.499
"Marret et al., 674",P1138,49.236,-123.473
"Marret et al., 673",P1139,49.284,-123.465
"Marret et al., 672",P1140,49.287,-123.165
"Marret et al., 671",P1142,49.318,-123.285
"Marret et al., 670",P1143,49.322,-123.348
"Marret et al., 669",P1144,49.331,-123.474
"Marret et al., 668",P1145,49.29,-123.311
"Marret et al., 667",P1146,49.287,-123.375
"Marret et al., 666",P1147,48.997,-123.339
"Marret et al., 665",P1148,49.011,-123.472
"Marret et al., 664",P1149,48.884,-123.235
"Marret et al., 663",P1150,49.31,-123.225
"Marret et al., 662",P1151,49.305,-123.189
"Marret et al., 661",P1152,49.332,-123.294
"Marret et al., 660",P1153,49.371,-123.746
"Marret et al., 659",P1154,49.212,-123.755
"Marret et al., 658",P1155,49.181,-123.783
"Marret et al., 657",P1156,49.171,-123.713
"Marret et al., 656",P1157,49.123,-123.633
"Marret et al., 655",P1158,49.139,-123.558
"Marret et al., 654",P1159,49.119,-123.572
"Marret et al., 653",P1160,48.912,-123.325
"Marret et al., 652",E1161,48.64,-68.63
"Marret et al., 651",E1162,48.7,-68.65
"Marret et al., 650",P1163,42.41,-125.2
"Marret et al., 649",P1164,41.087,-125.02
"Marret et al., 648",P1165,40.751,-125.404
"Marret et al., 647",P1166,39.155,-124.614
"Marret et al., 646",P1167,42.093,-125.755
"Marret et al., 645",P1168,42.257,-127.598
"Marret et al., 644",P1169,43.025,-124.67
"Marret et al., 643",P1170,42.152,-127.573
"Marret et al., 642",P1171,42.257,-127.597
"Marret et al., 641",P1172,40.36,-125.42
"Marret et al., 640",P1173,40.346,-125.66
"Marret et al., 639",P1174,40.352,-125.55
"Marret et al., 638",P1175,40.335,-125.605
"Marret et al., 637",P1176,40.336,-125.463
"Marret et al., 636",P1177,40.903,-124.648
"Marret et al., 635",P1178,40.9,-124.468
"Marret et al., 634",P1179,40.093,-124.477
"Marret et al., 633",P1180,40.1,-124.408
"Marret et al., 632",P1181,40.083,-124.687
"Marret et al., 631",P1182,40.902,-124.63
"Marret et al., 630",P1183,35.503,-121.397
"Marret et al., 629",P1184,35.458,-121.517
"Marret et al., 628",P1185,35.5,-122.01
"Marret et al., 627",P1186,29.983,-114.017
"Marret et al., 626",P1187,25.407,-119.03
"Marret et al., 625",P1188,25.225,-118.052
"Marret et al., 624",P1189,29.983,-114
"Marret et al., 623",P1190,29.95,-114.183
"Marret et al., 622",P1191,30.163,-114.018
"Marret et al., 621",P1192,31.009,-114.165
"Marret et al., 620",P1193,30.559,-114.1
"Marret et al., 619",P1194,37.216,-123.409
"Marret et al., 618",P1195,37.224,-123.244
"Marret et al., 617",P1196,37.527,-123.408
"Marret et al., 616",P1197,37.449,-123.333
"Marret et al., 615",P1198,37.433,-123.243
"Marret et al., 614",P1199,37.311,-123.154
"Marret et al., 613",P1200,37.311,-123.154
"Marret et al., 612",P1201,37.242,-123.074
"Marret et al., 611",P1202,37.356,-123.248
"Marret et al., 610",P1203,33.979,-118.575
"Marret et al., 609",P1204,33.971,-118.652
"Marret et al., 608",P1205,33.839,-118.551
"Marret et al., 607",P1206,33.887,-118.478
"Marret et al., 606",P1207,33.933,-118.507
"Marret et al., 605",P1208,51.037,-126.718
"Marret et al., 604",P1209,51.023,-126.713
"Marret et al., 603",P1210,51.009,-126.707
"Marret et al., 602",P1211,51.167,-126.946
"Marret et al., 601",P1212,51.17,-127.042
"Marret et al., 600",P1213,51.197,-127.352
"Marret et al., 599",P1214,48.633,-123.5
"Marret et al., 598",P1215,49.087,-125.178
"Marret et al., 597",P1216,49.087,-125.177
"Marret et al., 596",P1217,49.086,-125.177
"Marret et al., 595",P1218,49.085,-125.175
"Marret et al., 594",P1219,49.085,-125.175
"Marret et al., 593",P1220,49.073,-125.164
"Marret et al., 592",P1221,49.07,-125.155
"Marret et al., 591",P1222,49.057,-125.146
"Marret et al., 590",P1223,49.056,-125.146
"Marret et al., 589",P1224,49.048,-125.163
"Marret et al., 588",P1225,49.05,-125.158
"Marret et al., 587",P1226,49.05,-125.148
"Marret et al., 586",P1227,49.021,-125.156
"Marret et al., 585",P1228,49.024,-125.155
"Marret et al., 584",F1229,68.998,-106.585
"Marret et al., 583",F1230,74.282,-85.602
"Marret et al., 582",F1231,74.187,-81.195
"Marret et al., 581",F1232,70.6,-122.63
"Marret et al., 580",F1233,70.66,-123.43
"Marret et al., 579",F1234,70.85,-125.05
"Marret et al., 578",F1235,70.944,-125.85
"Marret et al., 577",F1236,71.389,-126.719
"Marret et al., 576",F1237,70.045,-126.297
"Marret et al., 575",F1238,70.321,-124.839
"Marret et al., 574",F1239,70.539,-124.366
"Marret et al., 573",F1240,70.757,-123.89
"Marret et al., 572",F1241,70.974,-123.415
"Marret et al., 571",F1242,70.452,-125.423
"Marret et al., 570",F1243,71.125,-125.834
"Marret et al., 569",F1244,71.302,-125.192
"Marret et al., 568",F1245,71.486,-124.543
"Marret et al., 567",F1246,70.917,-128.933
"Marret et al., 566",F1247,71.113,-128.305
"Marret et al., 565",F1248,71.311,-127.699
"Marret et al., 564",F1249,71.512,-127.092
"Marret et al., 563",F1250,71.7,-126.477
"Marret et al., 562",F1251,71.908,-125.868
"Marret et al., 561",F1252,70.943,-130.523
"Marret et al., 560",F1253,71.309,-131.619
"Marret et al., 559",F1254,70.964,-133.784
"Marret et al., 558",F1255,70.824,-133.803
"Marret et al., 557",F1256,70.69,-133.681
"Marret et al., 556",F1257,70.17,-133.534
"Marret et al., 555",F1258,71.346,-134.143
"Marret et al., 554",F1259,70.636,-135.917
"Marret et al., 553",F1260,70.393,-135.42
"Marret et al., 552",F1261,70.095,-135.341
"Marret et al., 551",F1262,70.548,-137.6
"Marret et al., 550",F1263,70.019,-138.597
"Marret et al., 549",F1264,69.753,-138.272
"Marret et al., 548",F1265,69.488,-137.941
"Marret et al., 547",P1266,29.217,-116.995
"Marret et al., 546",P1267,32.885,-118.592
"Marret et al., 545",P1268,32.755,-118.37
"Marret et al., 544",P1269,38.76,-126.243
"Marret et al., 543",P1270,28.583,-118.7
"Marret et al., 542",P1271,35.3,-124.267
"Marret et al., 541",P1272,35.85,-123.35
"Marret et al., 540",P1273,38.053,-127.55
"Marret et al., 539",P1274,37.22,-128.675
"Marret et al., 538",P1275,30.193,-117.013
"Marret et al., 537",P1276,28.083,-117.233
"Marret et al., 536",P1277,24.54,-110.72
"Marret et al., 535",P1278,24.54,-110.61
"Marret et al., 534",P1279,24.56,-110.49
"Marret et al., 533",P1280,24.64,-110.38
"Marret et al., 532",P1281,24.62,-110.49
"Marret et al., 531",P1282,24.61,-110.62
"Marret et al., 530",P1283,24.62,-110.72
"Marret et al., 529",P1284,24.69,-110.62
"Marret et al., 528",P1285,24.7,-110.49
"Marret et al., 527",P1286,24.7,-110.38
"Marret et al., 526",P1287,24.75,-110.55
"Marret et al., 525",P1288,24.74,-110.62
"Marret et al., 524",P1291,22.19,-107.32
"Marret et al., 523",P1292,22.72,-106.48
"Marret et al., 522",P1294,20.62,-105.94
"Marret et al., 521",P1297,15.7,-95.52
"Marret et al., 520",P1298,15.8,-95.51
"Marret et al., 519",P1299,15.79,-95.32
"Marret et al., 518",P1300,15.7,-95.32
"Marret et al., 517",P1301,15.58,-95.34
"Marret et al., 516",P1302,15.36,-95.01
"Marret et al., 515",P1303,15.6,-95.01
"Marret et al., 514",P1304,15.78,-95.02
"Marret et al., 513",P1305,16,-95.02
"Marret et al., 512",P1306,15.99,-94.67
"Marret et al., 511",P1307,15.8,-94.8
"Marret et al., 510",P1308,15.59,-94.81
"Marret et al., 509",P1309,15.39,-94.81
"Marret et al., 508",P1310,15.4,-94.6
"Marret et al., 507",P1311,15.6,-94.61
"Marret et al., 506",P1312,15.3,-94.6
"Marret et al., 505",P1314,15.62,-94.41
"Marret et al., 504",P1315,15.11,-94.41
"Marret et al., 503",P1316,15.11,-94.1
"Marret et al., 502",P1317,15.33,-94.1
"Marret et al., 501",P1318,15.41,-94.1
"Marret et al., 500",P1319,15.2,-93.73
"Marret et al., 499",P1320,15.01,-93.72
"Marret et al., 498",P1322,15.12,-93.34
"Marret et al., 497",P1324,14.76,-93.33
"Marret et al., 496",H1325,60.17,-79
"Marret et al., 495",H1326,60.33,-82
"Marret et al., 494",H1328,60.66,-87.45
"Marret et al., 493",H1329,60.92,-91.78
"Marret et al., 492",H1330,65.14,-81.34
"Marret et al., 491",H1331,62.25,-71.92
"Marret et al., 490",H1332,64.03,-79.22
"Marret et al., 489",H1333,62.76,-79
"Marret et al., 488",H1334,60.18,-79.29
"Marret et al., 487",H1335,58.42,-78.36
"Marret et al., 486",H1336,56.39,-76.58
"Marret et al., 485",H1337,55.4,-77.98
"Marret et al., 484",H1338,54.72,-80.73
"Marret et al., 483",H1339,55.44,-80.53
"Marret et al., 482",H1340,56.72,-80.81
"Marret et al., 481",H1341,59.05,-87.49
"Marret et al., 480",H1342,58.73,-91.49
"Marret et al., 479",H1343,60,-91.97
"Marret et al., 478",H1344,60.44,-89.36
"Marret et al., 477",H1345,61.04,-86.22
"Marret et al., 476",G1347,50.05,-66.38
"Marret et al., 475",G1348,50.04,-66.38
"Marret et al., 474",G1349,50.05,-66.38
"Marret et al., 473",G1350,50.06,-66.37
"Marret et al., 472",G1351,50.09,-66.33
"Marret et al., 471",G1352,50.23,-63.95
"Marret et al., 470",G1353,49.68,-65.17
"Marret et al., 469",G1354,49.17,-63.83
"Marret et al., 468",G1355,48.07,-64.3
"Marret et al., 467",G1356,46.52,-64.23
"Marret et al., 466",G1357,46.37,-64.41
"Marret et al., 465",G1358,46.29,-64.37
"Marret et al., 464",G1359,46.96,-63.72
"Marret et al., 463",G1360,45.97,-63.3
"Marret et al., 462",G1361,45.83,-63.2
"Marret et al., 461",G1362,45.7,-62.53
"Marret et al., 460",G1363,46.32,-62.2
"Marret et al., 459",G1364,45.78,-61.58
"Marret et al., 458",G1365,46.43,-58.56
"Marret et al., 457",G1366,47.67,-60.01
"Marret et al., 456",G1367,48.33,-61.5
"Marret et al., 455",G1368,48.57,-62.84
"Marret et al., 454",G1369,48.86,-68.53
"Marret et al., 453",H1370,58.65,-90.28
"Marret et al., 452",H1371,55.26,-77.89
"Marret et al., 451",A1372,78.92,6.77
"Marret et al., 450",A1373,78.94,5.4
"Marret et al., 449",A1374,78.91,2.42
"Marret et al., 448",A1375,78.93,1.11
"Marret et al., 447",A1376,78.9,0.28
"Marret et al., 446",A1377,78.01,-2.5
"Marret et al., 445",A1378,77,-3.39
"Marret et al., 444",A1379,74.63,-11.19
"Marret et al., 443",A1380,74.89,-10.77
"Marret et al., 442",A1381,78.88,7.34
"Marret et al., 441",A1383,73.75,-14.2
"Marret et al., 440",A1384,73.77,-13.01
"Marret et al., 439",A1385,73.78,-12.35
"Marret et al., 438",A1386,69.85,-22.13
"Marret et al., 437",A1387,77.48,-2.04
"Marret et al., 436",A1388,77.5,-0.04
"Marret et al., 435",A1389,78.23,11.01
"Marret et al., 434",Z1390,72.001,22.002
"Marret et al., 433",Z1391,72.021,20.919
"Marret et al., 432",Z1392,72.022,19.85
"Marret et al., 431",Z1393,72.017,18.767
"Marret et al., 430",Z1394,72.022,17.692
"Marret et al., 429",Z1395,72.02,16.612
"Marret et al., 428",Z1396,72.005,14.725
"Marret et al., 427",Z1397,72.005,14.617
"Marret et al., 426",Z1398,73.167,12.938
"Marret et al., 425",Z1399,73.167,14.083
"Marret et al., 424",Z1400,73.167,15.233
"Marret et al., 423",Z1401,73.167,16.383
"Marret et al., 422",Z1402,73.167,17.537
"Marret et al., 421",Z1403,73.167,18.817
"Marret et al., 420",Z1404,73.167,19.848
"Marret et al., 419",Z1405,73.167,20.95
"Marret et al., 418",Z1406,73.167,21.998
"Marret et al., 417",Z1407,74.812,18.017
"Marret et al., 416",Z1408,74.812,17
"Marret et al., 415",Z1409,74.812,16.033
"Marret et al., 414",Z1410,74.812,14.78
"Marret et al., 413",Z1411,75.637,12.92
"Marret et al., 412",Z1412,75.743,13.83
"Marret et al., 411",Z1413,75.833,14.767
"Marret et al., 410",Z1414,75.945,15.712
"Marret et al., 409",Z1415,76.042,16.667
"Marret et al., 408",Z1416,76.147,17.617
"Marret et al., 407",Z1417,76.22,18.583
"Marret et al., 406",Z1418,76.303,19.568
"Marret et al., 405",Z1419,76.383,20.575
"Marret et al., 404",Z1420,76.462,21.595
"Marret et al., 403",Z1421,71.75,22
"Marret et al., 402",Z1422,71.612,21.063
"Marret et al., 401",Z1423,71.593,20.857
"Marret et al., 400",Z1424,71.595,21.19
"Marret et al., 399",Z1425,71.48,20.81
"Marret et al., 398",Z1426,71.33,20.18
"Marret et al., 397",Z1427,71.183,19.557
"Marret et al., 396",Z1428,71.027,18.943
"Marret et al., 395",Z1429,70.868,18.337
"Marret et al., 394",Z1430,70.712,17.745
"Marret et al., 393",Z1431,70.543,17.128
"Marret et al., 392",Z1432,70.438,16.742
"Marret et al., 391",P1433,23.109,-106.476
"Marret et al., 390",P1434,22.96,-106.336
"Marret et al., 389",P1435,22.806,-106.463
"Marret et al., 388",P1436,22.72,-106.479
"Marret et al., 387",P1437,22.4,-106.117
"Marret et al., 386",P1438,22.34,-106.186
"Marret et al., 385",P1439,21.996,-105.789
"Marret et al., 384",P1440,21.5,-105.582
"Marret et al., 383",P1441,21.217,-105.898
"Marret et al., 382",P1442,20.803,-105.898
"Marret et al., 381",P1443,20.747,-105.611
"Marret et al., 380",P1444,20.524,-105.664
"Marret et al., 379",P1445,20.55,-105.49
"Marret et al., 378",P1446,20.641,-105.258
"Marret et al., 377",P1447,20.234,-105.606
"Marret et al., 376",P1448,20.153,-105.692
"Marret et al., 375",P1449,19.674,-105.67
"Marret et al., 374",P1450,19.743,-105.541
"Marret et al., 373",P1451,19.801,-105.425
"Marret et al., 372",P1452,19.386,-105.125
"Marret et al., 371",P1453,19.148,-104.643
"Marret et al., 370",P1454,19.103,-104.676
"Marret et al., 369",P1455,19.064,-104.694
"Marret et al., 368",P1456,18.964,-104.751
