source,geography,core or outcrop,location,lat,long,age,miinage,maxage,paleolatitude,lower,upper,interpolated,stable,,,pal_lat source,tier,version
"Brown and Downie, 1985",N Atlantic,core,548,49,-12.1,56,0,60,38.8646,37.87621,39.87645,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Brown and Downie, 1985",N Atlantic,core,548,49,-12.1,60,0,60,38.41031,37.61781,39.21794,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Brown and Downie, 1984",N Atlantic,core,552,56.05,-23.25,49,49,57,47.00251,45.86849,48.1634,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Brown and Downie, 1984",N Atlantic,core,552,56.05,-23.25,56,49,57,46.06133,45.0715,47.07163,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Brown and Downie, 1984",N Atlantic,core,552,56.05,-23.25,57,49,57,45.99533,45.0546,46.95471,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Brown and Downie, 1984",N Atlantic,core,553,56.1,-23.33,49,49,57,47.05454,45.92051,48.21542,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Brown and Downie, 1984",N Atlantic,core,553,56.1,-23.33,56,49,57,46.11342,45.12358,47.12371,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Brown and Downie, 1984",N Atlantic,core,553,56.1,-23.33,57,49,57,46.04775,45.10701,47.00712,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Brown and Downie, 1984",N Atlantic,core,555,56.55,-20.9,49,49,58,47.44714,46.31299,48.6079,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Brown and Downie, 1984",N Atlantic,core,555,56.55,-20.9,56,49,58,46.50465,45.51473,47.51485,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Brown and Downie, 1984",N Atlantic,core,555,56.55,-20.9,58,49,58,46.35153,45.45982,47.25991,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Habib and Drugg, 1987",N Atlantic,core,603,35.5,-75,127,127,145,31.77933,30.88089,32.69937,TRUE,TRUE,199,Alleghanian North America,"Vaes et al., 2023",1,1
"Habib and Drugg, 1987",N Atlantic,core,603,35.5,-75,131,127,145,30.99717,30.20531,31.80551,FALSE,TRUE,199,Alleghanian North America,"Vaes et al., 2023",1,1
"Habib and Drugg, 1987",N Atlantic,core,603,35.5,-75,134,127,145,31.40832,30.51858,32.31885,FALSE,TRUE,199,Alleghanian North America,"Vaes et al., 2023",1,1
"Habib and Drugg, 1987",N Atlantic,core,603,35.5,-75,145,127,145,28.84078,26.84344,30.97175,TRUE,TRUE,199,Alleghanian North America,"Vaes et al., 2023",1,1
"Habib and Drugg, 1987",Eastcoast USA,core,605,38.75,-72.55,65,65,71,35.21018,34.11412,36.33677,TRUE,TRUE,101,North America,"Vaes et al., 2023",2,1
"Habib and Drugg, 1987",Eastcoast USA,core,605,38.75,-72.55,71,65,71,35.44571,34.28487,36.64092,TRUE,TRUE,101,North America,"Vaes et al., 2023",2,1
"De Vernal et al., 1992; Mudie, 1987; Versteegh, 1997",N Atlantic,core,607,41,-33,0,0,8,41,NA,NA,FALSE,TRUE,101,North America,"Vaes et al., 2023",1,1
"De Vernal et al., 1992; Mudie, 1987; Versteegh, 1997",N Atlantic,core,607,41,-33,1,0,8,40.55987,39.86542,41.26549,FALSE,TRUE,101,North America,"Vaes et al., 2023",1,1
"De Vernal et al., 1992; Mudie, 1987; Versteegh, 1997",N Atlantic,core,607,41,-33,4,0,8,38.73698,37.45657,40.05711,FALSE,TRUE,101,North America,"Vaes et al., 2023",1,1
"De Vernal et al., 1992; Mudie, 1987; Versteegh, 1997",N Atlantic,core,607,41,-33,8,0,8,37.64201,36.40756,38.91396,TRUE,TRUE,101,North America,"Vaes et al., 2023",1,1
De Schepper and Head 2008; 2009,N atlantic,core,610,53.25,-18.9,0,0,6,53.25,NA,NA,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",1,1
De Schepper and Head 2008; 2009,N atlantic,core,610,53.25,-18.9,1,0,6,52.89868,52.20292,53.60293,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",1,1
De Schepper and Head 2008; 2009,N atlantic,core,610,53.25,-18.9,4,0,6,51.16552,49.88077,52.48091,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",1,1
De Schepper and Head 2008; 2009,N atlantic,core,610,53.25,-18.9,6,0,6,50.64941,49.38782,51.9409,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",1,1
"De Vernal et al., 1992; Mudie, 1987",N Atlantic,core,611,50.85,-30.3,0,0,11,50.85,NA,NA,FALSE,TRUE,317,Porcupine Plate,"Vaes et al., 2023",1,1
"De Vernal et al., 1992; Mudie, 1987",N Atlantic,core,611,50.85,-30.3,1,0,11,50.45178,49.75629,51.15632,FALSE,TRUE,317,Porcupine Plate,"Vaes et al., 2023",1,1
"De Vernal et al., 1992; Mudie, 1987",N Atlantic,core,611,50.85,-30.3,4,0,11,48.70481,47.42099,50.0212,FALSE,TRUE,317,Porcupine Plate,"Vaes et al., 2023",1,1
"De Vernal et al., 1992; Mudie, 1987",N Atlantic,core,611,50.85,-30.3,11,0,11,46.97297,45.77007,48.20558,TRUE,TRUE,317,Porcupine Plate,"Vaes et al., 2023",1,1
"Tocher, 1987",USA,core,612,41,-72.5,66,66,76,37.35967,36.25241,38.49723,TRUE,TRUE,199,Alleghanian North America,"Vaes et al., 2023",3,1
"Tocher, 1987",USA,core,612,41,-72.5,76,66,76,37.77967,36.56432,39.03149,TRUE,TRUE,199,Alleghanian North America,"Vaes et al., 2023",3,1
"Eldrett et al., 2004",Norway,core,643,67.8,1.33,33,33,50,60.38214,59.17051,61.61489,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",2,1
"Eldrett et al., 2004",Norway,core,643,67.8,1.33,37,33,50,60.32908,58.94264,61.74255,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",2,1
"Eldrett et al., 2004",Norway,core,643,67.8,1.33,50,33,50,58.64417,57.52725,59.77985,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",2,1
"De Vernal et al., 1992",N atlantic,core,644,67,5,0,0,2,67,NA,NA,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",1,1
"De Vernal et al., 1992",N atlantic,core,644,67,5,1,0,2,66.81247,66.11511,67.51509,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",1,1
"De Vernal et al., 1992",N atlantic,core,644,67,5,2,0,2,66.32566,65.43066,67.23059,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",1,1
"De Vernal and Mudie, 1989; Head et al., 1989; De Vernal et al., 1992",N atlantic,core,646,58.22,-48.35,0,0,10,58.22,NA,NA,FALSE,TRUE,102,Greenland,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989; Head et al., 1989; De Vernal et al., 1992",N atlantic,core,646,58.22,-48.35,1,0,10,57.76369,57.06737,58.46736,FALSE,TRUE,102,Greenland,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989; Head et al., 1989; De Vernal et al., 1992",N atlantic,core,646,58.22,-48.35,2,0,10,57.523022,NA,NA,FALSE,TRUE,102,Greenland,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989; Head et al., 1989; De Vernal et al., 1992",N atlantic,core,646,58.22,-48.35,3,0,10,57.174533,NA,NA,FALSE,TRUE,102,Greenland,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989; Head et al., 1989; De Vernal et al., 1992",N atlantic,core,646,58.22,-48.35,4,0,10,56.07596,54.78931,57.38933,FALSE,TRUE,102,Greenland,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989; Head et al., 1989; De Vernal et al., 1992",N atlantic,core,646,58.22,-48.35,5,0,10,56.477555,NA,NA,FALSE,TRUE,102,Greenland,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989; Head et al., 1989; De Vernal et al., 1992",N atlantic,core,646,58.22,-48.35,6,0,10,56.129066,NA,NA,FALSE,TRUE,102,Greenland,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989; Head et al., 1989; De Vernal et al., 1992",N atlantic,core,646,58.22,-48.35,7,0,10,55.780577,NA,NA,FALSE,TRUE,102,Greenland,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989; Head et al., 1989; De Vernal et al., 1992",N atlantic,core,646,58.22,-48.35,8,0,10,55.432088,NA,NA,FALSE,TRUE,102,Greenland,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989; Head et al., 1989; De Vernal et al., 1992",N atlantic,core,646,58.22,-48.35,9,0,10,55.083599,NA,NA,FALSE,TRUE,102,Greenland,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989; Head et al., 1989; De Vernal et al., 1992",N atlantic,core,646,58.22,-48.35,10,0,10,54.73511,53.51809,55.97695,TRUE,TRUE,102,Greenland,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989",N atlantic,core,647,53.4,-45.3,0,0,6,53.4,NA,NA,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,1
"Head and Norris, 1989; Firth et al., 2013",N atlantic,core,647,53.4,-45.3,0,23,57,53.4,NA,NA,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989",N atlantic,core,647,53.4,-45.3,1,0,6,52.94433,52.24856,53.64858,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,1
"Head and Norris, 1989; Firth et al., 2013",N atlantic,core,647,53.4,-45.3,1,23,57,52.94433,52.24856,53.64858,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989",N atlantic,core,647,53.4,-45.3,4,0,6,51.22128,49.93651,52.53665,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,1
"Head and Norris, 1989; Firth et al., 2013",N atlantic,core,647,53.4,-45.3,4,23,57,51.22128,49.93651,52.53665,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989",N atlantic,core,647,53.4,-45.3,6,0,6,50.75565,49.49402,52.04711,TRUE,TRUE,101,North America,"Vaes et al., 2023",3,1
"Head and Norris, 1989; Firth et al., 2013",N atlantic,core,647,53.4,-45.3,6,23,57,50.75565,49.49402,52.04711,TRUE,TRUE,101,North America,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989",N atlantic,core,647,53.4,-45.25,23,0,6,47.17425,46.11423,48.25723,TRUE,TRUE,101,North America,"Vaes et al., 2023",3,1
"Head and Norris, 1989; Firth et al., 2013",N atlantic,core,647,53.4,-45.25,23,23,57,47.17425,46.11423,48.25723,TRUE,TRUE,101,North America,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989",N atlantic,core,647,53.4,-45.25,28,0,6,46.96108,45.97106,47.97117,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,1
"Head and Norris, 1989; Firth et al., 2013",N atlantic,core,647,53.4,-45.25,28,23,57,46.96108,45.97106,47.97117,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989",N atlantic,core,647,53.4,-45.25,37,0,6,45.839,44.45897,47.25934,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,1
"Head and Norris, 1989; Firth et al., 2013",N atlantic,core,647,53.4,-45.25,37,23,57,45.839,44.45897,47.25934,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989",N atlantic,core,647,53.4,-45.25,56,0,6,42.79319,41.80405,43.80423,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,1
"Head and Norris, 1989; Firth et al., 2013",N atlantic,core,647,53.4,-45.25,56,23,57,42.79319,41.80405,43.80423,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,1
"De Vernal and Mudie, 1989",N atlantic,core,647,53.4,-45.25,57,0,6,42.72595,41.78584,43.686,TRUE,TRUE,101,North America,"Vaes et al., 2023",3,1
"Head and Norris, 1989; Firth et al., 2013",N atlantic,core,647,53.4,-45.25,57,23,57,42.72595,41.78584,43.686,TRUE,TRUE,101,North America,"Vaes et al., 2023",3,1
"Mohr and Mao, 1997",S Atlantic,core,748,-58.5,79,70,70,100,-60.62052,-61.79655,-59.46327,TRUE,TRUE,802,East Antarctica,"Vaes et al., 2023",1,1
"Mohr and Mao, 1997",S Atlantic,core,748,-58.5,79,82,70,100,-59.78879,-61.10063,-58.50069,FALSE,TRUE,802,East Antarctica,"Vaes et al., 2023",1,1
"Mohr and Mao, 1997",S Atlantic,core,748,-58.5,79,89,70,100,-60.50107,-61.71091,-59.31097,FALSE,TRUE,802,East Antarctica,"Vaes et al., 2023",1,1
"Mohr and Mao, 1997",S Atlantic,core,748,-58.5,79,94,70,100,-61.493,-63.41675,-59.61703,FALSE,TRUE,802,East Antarctica,"Vaes et al., 2023",1,1
"Mohr and Mao, 1997",S Atlantic,core,748,-58.5,79,100,70,100,-59.38625,-61.18848,-57.62865,TRUE,TRUE,802,East Antarctica,"Vaes et al., 2023",1,1
"Helby and McMinn, 1992",NW Australia,core,765,-18,117.55,104,104,139,-51.13403,-52.86071,-49.4604,TRUE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"Helby and McMinn, 1992",NW Australia,core,765,-18,117.55,114,104,139,-50.74469,-52.26543,-49.26519,FALSE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"Helby and McMinn, 1992",NW Australia,core,765,-18,117.55,120,104,139,-51.3147,-52.42567,-50.22559,FALSE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"Helby and McMinn, 1992",NW Australia,core,765,-18,117.55,131,104,139,-52.72843,-53.53401,-51.93399,FALSE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"Helby and McMinn, 1992",NW Australia,core,765,-18,117.55,134,104,139,-53.36927,-54.27621,-52.47618,FALSE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"Helby and McMinn, 1992",NW Australia,core,765,-18,117.55,139,104,139,-50.98436,-52.4405,-49.58402,TRUE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"McMinn, 1993",Ne Australia,core,815,-19.95,150,0,0,8,-19.95,NA,NA,FALSE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"McMinn, 1993",Ne Australia,core,815,-19.95,150,1,0,8,-20.33173,-21.03796,-19.63777,FALSE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"McMinn, 1993",Ne Australia,core,815,-19.95,150,4,0,8,-20.44481,-21.76662,-19.16542,FALSE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"McMinn, 1993",Ne Australia,core,815,-19.95,150,8,0,8,-21.76301,-23.03643,-20.52949,TRUE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"McMinn, 1993",Ne Australia,core,823,-16.6,146.75,0,0,9,-16.6,NA,NA,FALSE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"McMinn, 1993",Ne Australia,core,823,-16.6,146.75,1,0,9,-16.97951,-17.68531,-16.28511,FALSE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"McMinn, 1993",Ne Australia,core,823,-16.6,146.75,4,0,9,-17.11896,-18.43937,-15.83809,FALSE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"McMinn, 1993",Ne Australia,core,823,-16.6,146.75,9,0,9,-18.88516,-20.14545,-17.66199,TRUE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"Zorzi et al., 2020",N Pacific,core,887,54.31,-148.35,0,0,6,54.31,NA,NA,FALSE,TRUE,901,Pacific Plate,"Vaes et al., 2023",1,1
"Zorzi et al., 2020",N Pacific,core,887,54.31,-148.35,1,0,6,53.77379,53.07793,54.47794,FALSE,TRUE,901,Pacific Plate,"Vaes et al., 2023",1,1
"Zorzi et al., 2020",N Pacific,core,887,54.31,-148.35,4,0,6,53.33723,52.05165,54.65173,FALSE,TRUE,901,Pacific Plate,"Vaes et al., 2023",1,1
"Zorzi et al., 2020",N Pacific,core,887,54.31,-148.35,6,0,6,53.17907,51.91658,54.4696,TRUE,TRUE,901,Pacific Plate,"Vaes et al., 2023",1,1
"Schreck and Matthiessen, 2014; Schreck et al., 2012; 2017",Iceland,core,907,69.25,-12.6,2,2,15,67.25661,66.36142,68.16135,TRUE,TRUE,907,Jan Mayen,"Vaes et al., 2023",1,1
"Schreck and Matthiessen, 2014; Schreck et al., 2012; 2017",Iceland,core,907,69.25,-12.6,4,2,15,66.2219,64.93128,67.53111,FALSE,TRUE,907,Jan Mayen,"Vaes et al., 2023",1,1
"Schreck and Matthiessen, 2014; Schreck et al., 2012; 2017",Iceland,core,907,69.25,-12.6,15,2,15,63.80721,62.64495,64.98603,TRUE,TRUE,907,Jan Mayen,"Vaes et al., 2023",1,1
"Eldrett et al., 2019",N atlantic,core,908,78.4,1.4,24,24,34,70.00125,68.94931,71.06348,TRUE,TRUE,102,Greenland,"Vaes et al., 2023",2,1
"Eldrett et al., 2019",N atlantic,core,908,78.4,1.4,28,24,34,69.13681,68.14167,70.14157,FALSE,TRUE,102,Greenland,"Vaes et al., 2023",2,1
"Eldrett et al., 2019",N atlantic,core,908,78.4,1.4,34,24,34,68.52981,67.27142,69.80456,TRUE,TRUE,102,Greenland,"Vaes et al., 2023",2,1
"Matthiessen and Brenner, 1996",Norway,core,911,80.48,8.19,0,0,3,80.48,NA,NA,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",1,1
"Matthiessen and Brenner, 1996",Norway,core,911,80.48,8.19,1,0,3,80.31113,79.61224,81.01219,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",1,1
"Matthiessen and Brenner, 1996",Norway,core,911,80.48,8.19,3,0,3,79.336,78.23935,80.43913,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",1,1
"Eldrett et al., 2004; Firth, 1996",Norway,core,913,75.5,6.9,30,30,50,66.04146,64.95938,67.13705,TRUE,TRUE,102,Greenland,"Vaes et al., 2023",2,1
"Eldrett et al., 2004; Firth, 1996",Norway,core,913,75.5,6.9,37,30,50,65.38276,63.99402,66.79382,FALSE,TRUE,102,Greenland,"Vaes et al., 2023",2,1
"Eldrett et al., 2004; Firth, 1996",Norway,core,913,75.5,6.9,50,30,50,61.28152,60.16364,62.41619,TRUE,TRUE,102,Greenland,"Vaes et al., 2023",2,1
"Awad and Oboh-Ikenobe, 2019",Central Atlantic,core,959,3.5,-2.75,16,16,28,-2.1058,-3.2672,-0.94858,TRUE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2016; Masure et al., 1998",Central Atlantic,core,959,3.5,-2.75,16,54,90,-2.1058,-3.2672,-0.94858,TRUE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2019",Central Atlantic,core,959,3.5,-2.75,21,16,28,-3.63688,-4.74125,-2.54044,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2016; Masure et al., 1998",Central Atlantic,core,959,3.5,-2.75,21,54,90,-3.63688,-4.74125,-2.54044,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2019",Central Atlantic,core,959,3.5,-2.75,28,16,28,-4.77425,-5.77881,-3.7782,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2016; Masure et al., 1998",Central Atlantic,core,959,3.5,-2.75,28,54,90,-4.77425,-5.77881,-3.7782,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2019",Central Atlantic,core,959,3.5,-2.75,54,16,28,-8.46381,-9.51392,-7.42898,TRUE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2016; Masure et al., 1998",Central Atlantic,core,959,3.5,-2.75,54,54,90,-8.46381,-9.51392,-7.42898,TRUE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2019",Central Atlantic,core,959,3.5,-2.75,56,16,28,-8.79943,-9.80714,-7.80653,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2016; Masure et al., 1998",Central Atlantic,core,959,3.5,-2.75,56,54,90,-8.79943,-9.80714,-7.80653,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2019",Central Atlantic,core,959,3.5,-2.75,60,16,28,-9.34109,-10.14623,-8.54591,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2016; Masure et al., 1998",Central Atlantic,core,959,3.5,-2.75,60,54,90,-9.34109,-10.14623,-8.54591,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2019",Central Atlantic,core,959,3.5,-2.75,64,16,28,-9.07495,-10.18455,-7.98373,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2016; Masure et al., 1998",Central Atlantic,core,959,3.5,-2.75,64,54,90,-9.07495,-10.18455,-7.98373,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2019",Central Atlantic,core,959,3.5,-2.75,82,16,28,-6.66902,-7.97951,-5.37816,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2016; Masure et al., 1998",Central Atlantic,core,959,3.5,-2.75,82,54,90,-6.66902,-7.97951,-5.37816,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2019",Central Atlantic,core,959,3.5,-2.75,89,16,28,-4.83413,-6.04087,-3.63981,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2016; Masure et al., 1998",Central Atlantic,core,959,3.5,-2.75,89,54,90,-4.83413,-6.04087,-3.63981,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2019",Central Atlantic,core,959,3.5,-2.75,90,16,28,-4.58921,-5.93736,-3.25568,TRUE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Awad and Oboh-Ikenobe, 2016; Masure et al., 1998",Central Atlantic,core,959,3.5,-2.75,90,54,90,-4.58921,-5.93736,-3.25568,TRUE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Eldrett et al., 2019",N atlantic,core,985,66.9,-6.5,25,25,34,59.77864,58.74345,60.82914,TRUE,TRUE,907,Jan Mayen,"Vaes et al., 2023",2,1
"Eldrett et al., 2019",N atlantic,core,985,66.9,-6.5,28,25,34,59.52052,58.52762,60.5276,FALSE,TRUE,907,Jan Mayen,"Vaes et al., 2023",2,1
"Eldrett et al., 2019",N atlantic,core,985,66.9,-6.5,34,25,34,58.8957,57.64097,60.17427,TRUE,TRUE,907,Jan Mayen,"Vaes et al., 2023",2,1
"Zegarra and Helenes, 2011",East Pacific,core,1039,9.64,-86.2,0,0,18,9.64,NA,NA,FALSE,TRUE,909,Cocos Plate,"Vaes et al., 2023",1,1
"Zegarra and Helenes, 2011",East Pacific,core,1039,9.64,-86.2,1,0,18,8.36287,7.66624,9.06645,FALSE,TRUE,909,Cocos Plate,"Vaes et al., 2023",1,1
"Zegarra and Helenes, 2011",East Pacific,core,1039,9.64,-86.2,4,0,18,5.481,4.18852,6.78987,FALSE,TRUE,909,Cocos Plate,"Vaes et al., 2023",1,1
"Zegarra and Helenes, 2011",East Pacific,core,1039,9.64,-86.2,18,0,18,-3.88188,-5.02135,-2.74985,TRUE,TRUE,909,Cocos Plate,"Vaes et al., 2023",1,1
"Van Mourik et al., 2001",USA,core,1053,29.95,-76.5,34,34,41,27.34917,26.10348,28.63778,TRUE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Van Mourik et al., 2001",USA,core,1053,29.95,-76.5,37,34,41,26.93887,25.56391,28.36515,FALSE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Van Mourik et al., 2001",USA,core,1053,29.95,-76.5,41,34,41,26.7849,25.49159,28.12424,TRUE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Crouch et al., 2014",New Zealand,core,1121,-50.9,177,56,56,66,-57.92747,-58.93494,-56.93494,FALSE,TRUE,901,Pacific Plate,"Vaes et al., 2023",1,1
"Crouch et al., 2014",New Zealand,core,1121,-50.9,177,60,56,66,-58.79198,-59.59662,-57.99663,FALSE,TRUE,901,Pacific Plate,"Vaes et al., 2023",1,1
"Crouch et al., 2014",New Zealand,core,1121,-50.9,177,64,56,66,-61.72891,-62.83682,-60.63688,FALSE,TRUE,901,Pacific Plate,"Vaes et al., 2023",1,1
"Crouch et al., 2014",New Zealand,core,1121,-50.9,177,66,56,66,-63.23025,-64.36013,-62.11577,TRUE,TRUE,901,Pacific Plate,"Vaes et al., 2023",1,1
"Brinkhuis et al., 2003a; Sluijs et al., 2003",Australia,core,1168,-42.3,144.2,0,0,37,-42.3,NA,NA,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003a; Sluijs et al., 2003",Australia,core,1168,-42.3,144.2,1,0,37,-42.67689,-43.38229,-41.98223,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003a; Sluijs et al., 2003",Australia,core,1168,-42.3,144.2,4,0,37,-42.83585,-44.15453,-41.55414,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003a; Sluijs et al., 2003",Australia,core,1168,-42.3,144.2,21,0,37,-48.87496,-49.98664,-47.78652,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003a; Sluijs et al., 2003",Australia,core,1168,-42.3,144.2,28,0,37,-52.69296,-53.70169,-51.70165,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003a; Sluijs et al., 2003",Australia,core,1168,-42.3,144.2,37,0,37,-57.24524,-58.66019,-55.8602,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Sluijs et al., 2003",Australia,core,1170,-47,146,30,30,37,-57.84731,-58.9451,-56.76734,TRUE,TRUE,801,Australia,"Vaes et al., 2023",1,1
"Sluijs et al., 2003",Australia,core,1170,-47,146,37,30,37,-61.27004,-62.68306,-59.88317,FALSE,TRUE,801,Australia,"Vaes et al., 2023",1,1
"Bijl et al., 2013",Australia,core,1171,-48.5,149.5,30,30,54,-58.51386,-59.61146,-57.43371,TRUE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Bijl et al., 2013",Australia,core,1171,-48.5,149.5,37,30,54,-61.77769,-63.19047,-60.3906,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Bijl et al., 2013",Australia,core,1171,-48.5,149.5,54,30,54,-63.87301,-64.9218,-62.83766,TRUE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003b, Bijl et al., 2013; 2021; Sluijs et al., 2003",Australia,core,1172,-43.9,149.5,30,30,70,-54.15213,-55.25101,-53.07321,TRUE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003b, Bijl et al., 2013; 2021; Sluijs et al., 2003",Australia,core,1172,-43.9,149.5,37,30,70,-57.50525,-58.92007,-56.12009,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003b, Bijl et al., 2013; 2021; Sluijs et al., 2003",Australia,core,1172,-43.9,149.5,56,30,70,-60.01593,-61.02289,-59.02292,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
