source,geography,core or outcrop,location,lat,long,age,miinage,maxage,paleolatitude,lower,upper,interpolated,stable,,,pal_lat source,tier,version
Bucefalo Palliani and Riding 2003,Bulgaria,outcrop,Bulgaria,42.06,23.52,180.00,,,39.20,34.20,44.20,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",4,1
Bucefalo Palliani and Riding 2003,Bulgaria,outcrop,Bulgaria,42.06,23.52,193.00,,,42.90,37.90,47.90,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",4,1
Bucefalo Palliani and Riding 2003,Bulgaria,outcrop,Bulgaria,42.06,23.52,190.00,,,43.20,38.20,48.20,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",4,1
"Bucefalo Palliani and Riding, 1997a",Italy,outcrop,Pozzale,42.40,12.40,179.00,,,27.00,22.00,32.00,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",4,1
"Bucefalo Palliani and Riding, 1997a",Italy,outcrop,Pozzale,42.40,12.40,180.00,,,27.60,22.60,32.60,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",4,1
"Bucefalo Palliani and Riding, 1997a",Italy,outcrop,Pozzale,42.40,12.40,184.00,,,28.60,23.60,33.60,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",4,1
"Grothe et al., 2017",Black Sea,core,380,42.50,30.00,7.00,,,40.00,37.50,42.50,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
"Grothe et al., 2017",Black Sea,core,380,42.50,30.00,0.00,,,42.50,40.00,45.00,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
"Guasti et al., 2005; Vellekoop et al., 2015",Tunisia,outcrop,El Kef,36.14,8.64,60.00,,,22.89,20.73,28.68,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Guasti et al., 2005; Vellekoop et al., 2015",Tunisia,outcrop,El Kef,36.14,8.64,65.00,,,23.00,20.70,28.50,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Guasti et al., 2005; Vellekoop et al., 2015",Tunisia,outcrop,El Kef,36.14,8.64,54.00,,,24.00,21.40,29.10,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Kirsch, 1991",Germany,core,Bad tolz,47.76,12.32,66.00,,,37.00,34.70,39.40,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Kirsch, 1991",Germany,core,Bad tolz,47.76,12.32,70.00,,,37.39,34.97,39.97,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Kirsch, 1991",Germany,core,Bad tolz,47.76,12.32,80.00,,,37.99,35.19,41.00,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Kirsch, 1991",Germany,core,Bad tolz,47.76,12.32,90.00,,,39.19,36.76,41.77,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Kirsch, 1991",Germany,core,Bad tolz,47.76,12.32,95.00,,,39.90,37.00,42.90,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Leereveld, 1995, 1997a, 1997b",Spain,outcrop,Rio Argos,38.10,-1.90,140.00,,,23.15,17.56,29.67,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Leereveld, 1995, 1997a, 1997b",Spain,outcrop,Rio Argos,38.10,-1.90,145.00,,,23.60,10.00,30.00,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Leereveld, 1995, 1997a, 1997b",Spain,outcrop,Rio Argos,38.10,-1.90,130.00,,,24.39,21.69,27.30,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Leereveld, 1995, 1997a, 1997b",Spain,outcrop,Rio Argos,38.10,-1.90,120.00,,,26.90,24.38,29.59,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Leereveld, 1995, 1997a, 1997b",Spain,outcrop,Rio Argos,38.10,-1.90,110.00,,,27.00,22.50,32.10,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Leereveld, 1995, 1997a, 1997b",Spain,outcrop,Rio Argos,38.10,-1.90,100.00,,,27.50,25.00,30.20,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"McLachlan et al., 2018",British Columbia,outcrop,Hornby Island,49.50,-124.70,77.00,,,41.30,36.30,46.30,TRUE,FALSE,,,"Unpublished, van Hinsbergen pers comm 2020",1,1
"McLachlan et al., 2018",British Columbia,outcrop,Hornby Island,49.50,-124.70,71.00,,,46.30,41.30,51.30,TRUE,FALSE,,,"Unpublished, van Hinsbergen pers comm 2020",1,1
"Montanari et al., 1997",Italy,outcrop,Contessa,43.45,12.50,20.00,,,37.85,35.32,40.53,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
"Montanari et al., 1997",Italy,outcrop,Contessa,43.45,12.50,16.00,,,38.93,36.79,41.19,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
"Monteil et al., 1993; Oosting et al., 2006",France,outcrop,Angles,43.90,6.55,140.00,,,26.20,20.70,32.80,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Monteil et al., 1993; Oosting et al., 2006",France,outcrop,Angles,43.90,6.55,152.00,,,28.50,22.80,36.20,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Monteil et al., 1993; Oosting et al., 2006",France,outcrop,Angles,43.90,6.55,150.00,,,28.60,22.70,35.60,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Monteil et al., 1993; Oosting et al., 2006",France,outcrop,Angles,43.90,6.55,130.00,,,29.20,24.20,34.20,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",4,1
"Monteil et al., 1993; Oosting et al., 2006",France,outcrop,Angles,43.90,6.55,120.00,,,32.80,27.80,37.80,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",4,1
Pross et al. 2010,Italy,outcrop,Umbria-Marche,43.50,12.50,35.00,,,35.27,32.61,38.11,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
Pross et al. 2010,Italy,outcrop,Umbria-Marche,43.50,12.50,30.00,,,36.52,34.00,39.20,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
Pross et al. 2010,Italy,outcrop,Umbria-Marche,43.50,12.50,22.00,,,37.62,35.10,40.30,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
"Skupien and Vašíček, 2002",Czech republic,outcrop,Silesian Basin,49.56,18.31,134.00,,,33.40,28.40,38.40,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Skupien and Vašíček, 2002",Czech republic,outcrop,Silesian Basin,49.56,18.31,130.00,,,35.00,30.00,40.00,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Skupien and Vašíček, 2002",Czech republic,outcrop,Silesian Basin,49.56,18.31,120.00,,,38.20,33.20,43.20,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Skupien and Vašíček, 2002",Czech republic,outcrop,Silesian Basin,49.56,18.31,111.00,,,39.90,34.90,44.90,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Skupien, 2004",Slovakia,outcrop,Western Carpathians,49.00,18.50,123.00,,,35.46,30.46,40.46,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Skupien, 2004",Slovakia,outcrop,Western Carpathians,49.00,18.50,120.00,,,37.70,32.70,42.70,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Skupien, 2004",Slovakia,outcrop,Western Carpathians,49.00,18.50,110.00,,,39.40,34.40,44.40,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Skupien, 2004",Slovakia,outcrop,Western Carpathians,49.00,18.50,100.00,,,41.10,36.10,46.10,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Skupien, 2004",Slovakia,outcrop,Western Carpathians,49.00,18.50,99.00,,,41.27,36.27,46.27,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Smelror and Lominadze, 1989",Caucasus,outcrop,Caucasus,43.20,43.90,162.00,,,37.50,32.80,42.70,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Smelror and Lominadze, 1989",Caucasus,outcrop,Caucasus,43.20,43.90,166.00,,,37.80,33.20,42.70,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Torricelli and Amore, 2003",Italy,outcrop,Fiumara Saraceno,39.87,16.56,71.00,,,23.00,20.00,26.00,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Torricelli and Amore, 2003",Italy,outcrop,Fiumara Saraceno,39.87,16.56,80.00,,,23.17,20.37,26.18,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Torricelli and Amore, 2003",Italy,outcrop,Fiumara Saraceno,39.87,16.56,100.00,,,23.23,20.07,26.68,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Torricelli and Amore, 2003",Italy,outcrop,Fiumara Saraceno,39.87,16.56,90.00,,,23.36,20.93,25.94,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Torricelli and Amore, 2003",Italy,outcrop,Fiumara Saraceno,39.87,16.56,101.00,,,25.09,22.09,28.09,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Torricelli, 2000",Italy,core,APTICORE,46.00,11.70,133.00,,,22.66,17.66,27.66,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
"Torricelli, 2000",Italy,core,APTICORE,46.00,11.70,130.00,,,23.23,20.53,26.14,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
"Torricelli, 2000",Italy,core,APTICORE,46.00,11.70,120.00,,,26.41,23.90,29.10,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
"Torricelli, 2000",Italy,core,APTICORE,46.00,11.70,110.00,,,28.51,25.35,31.96,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
"Torricelli, 2000",Italy,core,APTICORE,46.00,11.70,100.00,,,30.05,26.89,33.50,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
"Torricelli, 2006",Italy,core,Piobbico,43.58,12.50,113.00,,,25.50,20.50,30.50,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Torricelli, 2006",Italy,core,Piobbico,43.58,12.50,110.00,,,26.10,21.10,31.10,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Torricelli, 2006",Italy,core,Piobbico,43.58,12.50,100.00,,,27.30,22.30,32.30,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Torricelli et al., 2022",Angola,core,block15,-6.30,11.00,13,,,-10.2,-12.3,-8.2,TRUE,FALSE,,,"Van Hinsbergen et al., 2015",3,2
"Torricelli et al., 2022",Angola,core,block15,-6.30,11.00,20,,,-11.9,-14.6,-9.3,FALSE,FALSE,,,"Van Hinsbergen et al., 2015",3,2
