source,location,lat,long
"Marret et al., 2020",Y691,76.96,-72.41
"Marret et al., 2020",GeoB10733,41.5,16.22
"Marret et al., 2020",Y690,76.8,-74.94
"Marret et al., 2020",GeoB10734,41.67,16.24
"Marret et al., 2020",Y689,76.84,-74.98
"Marret et al., 2020",GeoB10735,41.5,17.31
"Marret et al., 2020",Y688,76.41,-77.46
"Marret et al., 2020",GeoB10736,40.76,18.19
"Marret et al., 2020",Y687,76.29,-74.25
"Marret et al., 2020",B2154,69.15,-53.42
"Marret et al., 2020",X1739,27.32,-82.6573
"Marret et al., 2020",GeoB10737,40.63,18.33
"Marret et al., 2020",Y686,76.29,-74.16
"Marret et al., 2020",A685,43.31,-49.14
"Marret et al., 2020",GeoB10738,40.55,18.47
"Marret et al., 2020",A683,48.91,-51.8
"Marret et al., 2020",GeoB10739,40.5,18.64
"Marret et al., 2020",A682,48.85,-51.88
"Marret et al., 2020",GeoB10740,40.39,18.85
"Marret et al., 2020",C677,43.34,-63.5
"Marret et al., 2020",GeoB10741,40.23,18.67
"Marret et al., 2020",C676,45.23,-60.89
"Marret et al., 2020",GeoB10742,39.72,18.78
"Marret et al., 2020",C675,45.22,-60.9
"Marret et al., 2020",GeoB10743,39.82,18.64
"Marret et al., 2020",C674,45.21,-60.87
"Marret et al., 2020",GeoB10744,39.85,18.6
"Marret et al., 2020",C673,45.2,-60.86
"Marret et al., 2020",GeoB10746,39.91,16.76
"Marret et al., 2020",C672,45.17,-60.84
"Marret et al., 2020",GeoB10747,39.72,16.97
"Marret et al., 2020",B2155,68.84,-52.34
"Marret et al., 2020",X1738,27.305,-82.6216
"Marret et al., 2020",C671,45.16,-60.83
"Marret et al., 2020",GeoB10748,39.67,17.05
"Marret et al., 2020",C670,45.11,-60.79
"Marret et al., 2020",GeoB10749,39.6,17.18
"Marret et al., 2020",C669,43.88,-62.8
"Marret et al., 2020",GeoB6201,-26.67,-46.43
"Marret et al., 2020",C668,42.17,-62.59
"Marret et al., 2020",GeoB6202,-29.08,-47.17
"Marret et al., 2020",C667,42.73,-61.64
"Marret et al., 2020",GeoB6203,-28.83,-47.3
"Marret et al., 2020",C666,42.92,-61.82
"Marret et al., 2020",GeoB 6204,-28.72,-47.37
"Marret et al., 2020",C665,42.89,-61.74
"Marret et al., 2020",GeoB6205,-29.5,-46.92
"Marret et al., 2020",C664,43.18,-63.54
"Marret et al., 2020",GeoB6206,-30.2,-46.55
"Marret et al., 2020",C663,43.53,-61.82
