location,family,subfamily,genus,species,subspecies,original entry,source,calibration,FO_LO,...11,...12,age,pal_lat
403-406,Goniodomaceae,all,Homotryblium,oceanicum,NA,405_12X,"Costa and Downie, 1979",1 in nan_n_NP13,FO,NA,NA,48.79974,45.2760598
DSDP 1-6,Goniodomaceae,all,Polysphaeridium,zoharyi,NA,0% in Lutetian,"Williams and Bujak, 1977",0 in stage_Lutetian,FO,NA,NA,48.07,26.0684
Tremp,Peridiniaceae,Wetzelielloideae,Dracodinium,varielongitudum,NA,20% in NP12,"Torricelli et al., 2006",0.2 in nan_n_NP12,LO,NA,NA,52.473178,31.2526822
Tremp,Peridiniaceae,Wetzelielloideae,Dracodinium,varielongitudum,NA,10% in NP12,"Torricelli et al., 2006",0.1 in nan_n_NP12,FO,NA,NA,52.701589,31.2298411
U1356,Peridiniaceae,Wetzelielloideae,Rhombodinium,subtile,NA,50% C24n.1n,"Bijl et al., 2013",0.5 in mag_C24n.1n,LO,NA,NA,52.735,-57.98375
1172,Peridiniaceae,Wetzelielloideae,Wilsonidinium,ornatum,NA,100% C24n.1r,"Bijl et al., 2013",1 in mag_C24n.1r,FO,NA,NA,52.93,-57.9446
553,Peridiniaceae,Wetzelielloideae,Dracodinium,condylos,NA,0% NP12,"Brown and Downie, 1984",0 in nan_n_NP12,FO,NA,NA,52.93,44.97442857
553,Peridiniaceae,Wetzelielloideae,Wetzeliella,lunaris,NA,100% in NP11,"Brown and Downie, 1984",1 in nan_n_NP11,LO,NA,NA,52.93,44.97442857
548,Peridiniaceae,Wetzelielloideae,Apectodinium,quinquelatum,NA,100% NP11,"Brown and Downie, 1985",1 in nan_n_NP11,LO,NA,NA,52.93,37.7242
Disko,Peridiniaceae,Deflandreoideae,Palaeocystodinium,bulliforme,NA,80% NP4,"Piasecki et al., 1992",0.8 in nan_n_NP4,FO,NA,NA,61.676626,56.11177507
mid-Waipara,Peridiniaceae,Deflandreoideae,Alterbidinium,pentaradiatum,NA,75% NP4,"Crouch et al., 2014",0.75 in nan_n_NP4,LO,NA,NA,61.777165,-51.80635415
