location,Family,Subfamily,genus,species,subspecies,original entry,Source,Calibration,FO_LO,...11,...12,Age,pal_lat
Boyarka,Gonyaulacaceae,Cribroperidinioideae,Apteodinium,spongiosum,NA,20% polyptychus,"Shulgina et al., 1994",0.6 in amm_s_Unzoned,FO,NA,NA,135.76600000000002,66.111425
Boyarka,Pareodiniaceae,all,Batioladinium,longicornutum,NA,20% polyptychus,"Shulgina et al., 1994",0.6 in amm_s_Unzoned,FO,NA,NA,135.76600000000002,66.111425
Boyarka,Pareodiniaceae,all,Batioladinium,micropodum,NA,20% syzranicus,"Shulgina et al., 1994",0.55 in amm_s_Unzoned,LO,NA,NA,135.918,66.071525
Boyarka,Pareodiniaceae,all,Batioladinium,micropodum,NA,100% albidum,"Shulgina et al., 1994",0.5 in amm_s_Unzoned,FO,NA,NA,136.07,66.031625
Boyarka,Order Gonyaulacales Family uncertain,uncertain,Cassiculosphaeridia,magna,NA,20% polyptychus,"Shulgina et al., 1994",0.6 in amm_s_Unzoned,LO,NA,NA,135.76600000000002,66.111425
Boyarka,Areoligeraceae,all,Circulodinium,compta,NA,20% polyptychus,"Shulgina et al., 1994",0.6 in amm_s_Unzoned,LO,NA,NA,135.76600000000002,66.111425
Boyarka,Areoligeraceae,all,Circulodinium,compta,NA,10% analogus,"Shulgina et al., 1994",0.1 in amm_s_Unzoned,FO,NA,NA,137.286,65.712425
Boyarka,Gonyaulacaceae,Cribroperidinioideae,Cribroperidinium,spinoreticulatum,NA,0% polyptychus,"Shulgina et al., 1994",0.5 in amm_s_Unzoned,LO,NA,NA,136.07,66.031625
Boyarka,Gonyaulacaceae,Cribroperidinioideae,Cribroperidinium,spinocristatum,NA,100% michalskii,"Shulgina et al., 1994",0.67 in amm_s_Unzoned,FO,NA,NA,135.5532,66.16728499999999
Boyarka,Order Gonyaulacales Family uncertain,uncertain,Dingodinium,tuberosum,NA,90% kochi,"Shulgina et al., 1994",0.9 in amm_s_Hectoroceras kochi,FO,NA,NA,137.823,65.5714625
Boyarka,Order Gonyaulacales Family uncertain,uncertain,Dingodinium,tuberosum,NA,100% klimovskiensis,"Shulgina et al., 1994",1 in amm_s_Unzoned,LO,NA,NA,134.55,66.43062499999999
Boyarka,Gonyaulacaceae,other,Dissiliodinium,acmeum,NA,100% michalskii,"Shulgina et al., 1994",0.5 in amm_s_Unzoned,FO,NA,NA,136.07,66.031625
Boyarka,Pareodiniaceae,all,Gochteodinia,villosa,NA,90% kochi,"Shulgina et al., 1994",0.9 in amm_s_Hectoroceras kochi,FO,NA,NA,137.823,65.5714625
Boyarka,Pareodiniaceae,all,Gochteodinia,villosa,NA,20% polyptychus,"Shulgina et al., 1994",0.6 in amm_s_Unzoned,LO,NA,NA,135.76600000000002,66.111425
Boyarka,Gonyaulacaceae,other,Gongylodinium,spinoreticulatum,NA,100% michalskii,"Shulgina et al., 1994",0.5 in amm_s_Unzoned,FO,NA,NA,136.07,66.031625
Boyarka,Order Gonyaulacales Family uncertain,uncertain,Heslertonia,heslertonensis,NA,0% polyptychus,"Shulgina et al., 1994",0.5 in amm_s_Unzoned,LO,NA,NA,136.07,66.031625
Boyarka,Order Gonyaulacales Family uncertain,uncertain,Heslertonia,heslertonensis,NA,100% michalskii,"Shulgina et al., 1994",0.5 in amm_s_Unzoned,FO,NA,NA,136.07,66.031625
